# Source     : all
# Name       : sampledSurface
# Cells      : 559600
# Volume     : 4.859558e-09
# Scale factor: 1.000000e+00
# Time       	volIntegrateU
0.00142      	3.178552e-09 2.146198e-13 -1.385404e-19
0.00143      	3.193639e-09 2.182777e-13 -1.447970e-19
0.00144      	3.208634e-09 2.218969e-13 -1.519433e-19
0.00145      	3.223537e-09 2.254634e-13 -1.597155e-19
0.00146      	3.238349e-09 2.289854e-13 -1.676610e-19
0.00147      	3.253070e-09 2.323881e-13 -1.758169e-19
0.00148      	3.267699e-09 2.358327e-13 -1.840962e-19
0.00149      	3.282238e-09 2.394605e-13 -1.926088e-19
0.0015       	3.296685e-09 2.433754e-13 -2.013460e-19
0.00151      	3.311042e-09 2.478158e-13 -2.103240e-19
0.00152      	3.325308e-09 2.526440e-13 -2.194331e-19
0.00153      	3.339484e-09 2.572852e-13 -2.288127e-19
0.00154      	3.353570e-09 2.620170e-13 -2.383970e-19
0.00155      	3.367566e-09 2.654511e-13 -2.482207e-19
0.00156      	3.381473e-09 2.691017e-13 -2.582356e-19
0.00157      	3.395290e-09 2.731810e-13 -2.684539e-19
0.00158      	3.409017e-09 2.770558e-13 -2.788975e-19
0.00159      	3.422656e-09 2.813185e-13 -2.897131e-19
0.0016       	3.436206e-09 2.860198e-13 -3.005024e-19
0.00161      	3.449667e-09 2.905787e-13 -3.117679e-19
0.00162      	3.463040e-09 2.953548e-13 -3.228160e-19
0.00163      	3.476324e-09 3.000397e-13 -3.343913e-19
0.00164      	3.489520e-09 3.046098e-13 -3.460640e-19
0.00165      	3.502628e-09 3.090623e-13 -3.580339e-19
0.00166      	3.515649e-09 3.136050e-13 -3.701206e-19
0.00167      	3.528582e-09 3.184446e-13 -3.824818e-19
0.00168      	3.541428e-09 3.231301e-13 -3.949472e-19
0.00169      	3.554187e-09 3.276597e-13 -4.077067e-19
0.0017       	3.566859e-09 3.323455e-13 -4.205825e-19
0.00171      	3.579445e-09 3.371938e-13 -4.336981e-19
0.00172      	3.591945e-09 3.422257e-13 -4.469030e-19
0.00173      	3.604359e-09 3.474165e-13 -4.603495e-19
0.00174      	3.616687e-09 3.525199e-13 -4.738744e-19
0.00175      	3.628929e-09 3.576459e-13 -4.876212e-19
0.00176      	3.641086e-09 3.626550e-13 -5.014329e-19
0.00177      	3.653158e-09 3.674408e-13 -5.154639e-19
0.00178      	3.665145e-09 3.724123e-13 -5.295901e-19
0.00179      	3.677048e-09 3.772115e-13 -5.438614e-19
0.0018       	3.688867e-09 3.822389e-13 -5.582080e-19
0.00181      	3.700601e-09 3.873494e-13 -5.727047e-19
0.00182      	3.712252e-09 3.924826e-13 -5.874389e-19
0.00183      	3.723819e-09 3.976714e-13 -6.022778e-19
0.00184      	3.735304e-09 4.028545e-13 -6.171984e-19
0.00185      	3.746705e-09 4.080979e-13 -6.323582e-19
