theta phi g por re h11 h22 h33
22.5 45.0 2200.0 0.4 88.495564928 0.000107075254409 0.000107411668891 0.000316809171
0.0 90.0 0.01 0.4 0.000960860918363 0.000106879389824 0.00010694322391 0.000772520789874
0.0 90.0 1 0.4 1 0.000106879389824 0.00010694322391 0.000772520789874
0.0 90.0 10 0.4 10 0.000106879389824 0.00010694322391 0.000772520789874
22.5 90.0 0.01 0.4 0.000960860918363 0.000106879389824 0.00010694322391 0.000772520789874
22.5 90.0 1 0.4 1 0.000106879389824 0.00010694322391 0.000772520789874
22.5 90.0 10 0.4 10 0.000106879389824 0.00010694322391 0.000772520789874
22.5 90.0 100 0.4 100 0.000106879389824 0.00010694322391 0.000772520789874
45.0 90.0 0.01 0.4 0.000960860918363 0.000106879389824 0.00010694322391 0.000772520789874
45.0 90.0 1 0.4 1 0.000106879389824 0.00010694322391 0.000772520789874
45.0 90.0 10 0.4 10 0.000106879389824 0.00010694322391 0.000772520789874
45.0 90.0 100 0.4 100 0.000106879389824 0.00010694322391 0.000772520789874
0.0 0.0 0.01 0.6073009183 0.00104077063359 0.00156944067308 0.00156942684586 0.00387306001467
0.0 0.0 10.0 0.6073009183 1.03982523078 0.001568495367 0.00156244670282 0.00385158245562
0.0 0.0 90.0 0.6073009183 8.9550706212 0.00150791826694 0.00124561976648 0.003442540454
0.0 0.0 900.0 0.6073009183 57.3487842196 0.00101138430583 0.000328913014367 0.00268862995677
0.0 0.0 2800.0 0.6073009183 110.746706113 0.000853271145388 0.00018414689112 0.0024374327581
22.5 0.0 0.01 0.6073009183 0.00104073033243 0.00156944077418 0.00156942687687 0.00387306053586
22.5 0.0 12.0 0.6073009183 1.24726273193 0.00156690883104 0.00156072667865 0.003843138405
22.5 0.0 100.0 0.6073009183 9.8032619559 0.00148198343239 0.00126473565362 0.00343603120687
22.5 0.0 850.0 0.6073009183 51.7636594312 0.000981381079766 0.000384881856215 0.00271302504266
22.5 0.0 2500.0 0.6073009183 100.773113817 0.000690497536131 0.000216605256516 0.00225156577279
0.0 45.0 0.01 0.6073009183 0.00206310899993 0.00156944063844 0.00156942676634 0.00387305955528
0.0 45.0 6.0 0.6073009183 1.23564739544 0.00156930046857 0.00156822512676 0.00386945046628
0.0 45.0 60.0 0.6073009183 11.3853169904 0.00155239062881 0.00146063948 0.00376954533
0.0 45.0 350.0 0.6073009183 56.4803104077 0.00134264450062 0.000757299716396 0.00315213470458
0.0 45.0 800.0 0.6073009183 114.578024397 0.00112263650136 0.000429234706496 0.002865130564
22.5 45.0 0.01 0.6073009183 0.00206309875811 0.00156944070586 0.00156942679046 0.00387305992594
22.5 45.0 6.0 0.6073009183 1.23564412473 0.00156917893004 0.00156840331837 0.00386967482339
22.5 45.0 60.0 0.6073009183 11.4383180531 0.00154252625454 0.00154658 0.003784733
22.5 45.0 300.0 0.6073009183 49.364505635 0.00137153643773 0.000924351685106 0.00322767279897
22.5 45.0 700.0 0.6073009183 102.318497825 0.00115495579224 0.0004933394 0.002943262825
0.0 90.0 0 0.6073009183 0 0.001569439876 0.00156942593007 0.00387305660806
0.0 90.0 1.0 0.6073009183 1 0.001569439876 0.00156942593007 0.00387305660806
0.0 90.0 10.0 0.6073009183 10 0.001569439876 0.00156942593007 0.00387305660806
0.0 90.0 100.0 0.6073009183 100 0.001569439876 0.00156942593007 0.00387305660806
22.5 90.0 0 0.6073009183 0 0.001569439876 0.00156942593007 0.00387305660806
22.5 90.0 1.0 0.6073009183 1 0.001569439876 0.00156942593007 0.00387305660806
22.5 90.0 10.0 0.6073009183 10 0.001569439876 0.00156942593007 0.00387305660806
22.5 90.0 100.0 0.6073009183 100 0.001569439876 0.00156942593007 0.00387305660806
45.0 90.0 0 0.6073009183 0 0.001569439876 0.00156942593007 0.00387305660806
45.0 90.0 1.0 0.6073009183 1 0.001569439876 0.00156942593007 0.00387305660806
45.0 90.0 10.0 0.6073009183 10 0.001569439876 0.00156942593007 0.00387305660806
45.0 90.0 100.0 0.6073009183 100 0.001569439876 0.00156942593007 0.00387305660806
0.0 0.0 0.01 0.8 0 0.00707986126651 0.00708001200758 0.0124358930941
0.0 0.0 6.0 0.8 1.70022717044 0.00703130092787 0.00690615685983 0.0123747650094
0.0 0.0 60.0 0.8 12.573530073 0.00562697132246 0.00351949112526 0.0112959584166
0.0 0.0 500.0 0.8 52.8949385718 0.00305214433005 0.0011532321454 0.00879556961954
22.5 0.0 0.01 0.8 0 0.00707986125141 0.00708001207067 0.0124358931149
22.5 0.0 7.0 0.8 1.98526663549 0.006992949813 0.00687508784254 0.0123566018719
22.5 0.0 40.0 0.8 9.42321636426 0.0061649 0.00481487403105 0.0117220560205
22.5 0.0 500.0 0.8 56.1164306268 0.00277362445432 0.001752981689 0.0103883419992
22.5 0.0 1000.0 0.8 101.084452214 0.002193868 0.0017922574 0.00849256
0.0 45 0.01 0.8 0 0.00707986126651 0.00708001200758 0.0124358930941
0.0 45.0 3.0 0.8 1.3843536529 0.00707358053686 0.00705709390673 0.0124275642362
0.0 45.0 25.0 0.8 10.808199706 0.00674474698189 0.00600536308126 0.0109197
0.0 45.0 150.0 0.8 51.4040830079 0.003567602 0.003 0.0101759208929
0.0 45.0 320.0 0.8 95.9845455441 0.00280148 0.00171726473636 0.0079255744
22.5 45.0 0.01 0.8 0 0.0070798613294 0.0070800122676 0.0124358931672
22.5 45.0 4.0 0.8 1.84319717748 0.00706452236214 0.00704390456132 0.0124212640741
22.5 45.0 28.0 0.8 12.1294523025 0.00663280466825 0.004893260014135715 0.010922178002357145
22.5 45.0 150.0 0.8 51.3873195175 0.0032640843673200012 0.0030363477865 0.00894480458654667
22.5 45.0 310.0 0.8 91.0520784513 0.002492045702483871 0.0011685631222129035 0.0077574
